InfectionStatus,BloodHg,Lineage
0,0.373,none
0,0.418,none
0,0.425,none
0,0.473,none
0,0.476,none
0,0.539,none
0,0.561,none
0,0.571,none
0,0.585,none
1,0.59,SEIAUR01
0,0.65,none
0,0.76,none
0,0.8,none
0,0.809,none
0,0.653,none
0,0.697,none
0,0.705,none
0,0.844,none
0,0.953,none
0,0.279,none
0,0.287,none
0,0.291,none
0,0.305,none
0,0.319,none
0,0.343,none
0,0.37,none
0,0.402,none
1,0.406,SEIAUR01
1,0.422,GEOTRI09
0,0.18,none
1,0.183,MELMEL02
0,0.198,none
0,0.2,none
1,0.216,GEOTRI09
0,0.234,none
0,0.291,none
0,0.308,none
0,0.312,none
0,0.384,none
0,0.553,none
0,0.666,none
0,0.672,none
0,0.707,none
0,0.753,none
0,0.764,none
0,0.765,none
0,0.777,none
0,0.791,none
0,0.853,none
