# Mercury levels of saltmarsh sparrows 
# 19 Feb 2020
# APN

Blood_Hg,sample_id
0.18,1
0.183,2
0.198,3
0.2,4
0.216,5
0.234,6
0.279,7
0.287,8
0.291,9
0.291,10
0.305,11
0.308,12
0.312,13
0.319,14
0.343,15
0.37,16
0.373,17
0.384,18
0.402,19
0.406,20
0.418,21
0.42,22
0.422,23
0.425,24
0.473,25
0.476,26
0.539,27
0.553,28
0.561,29
0.571,30
0.585,31
0.59,32
0.632,33
0.647,34
0.65,35
0.653,36
0.66,37
0.666,38
0.672,39
0.697,40
0.705,41
0.707,42
0.742,43
0.753,44
0.76,45
0.762,46
0.764,47
0.765,48
0.768,49
0.773,50
0.777,51
0.791,52
0.8,53
0.809,54
0.844,55
0.853,56
0.865,57
0.904,58
0.941,59
0.953,60
0.953,61
0.959,62
0.986,63
0.988,64
0.989,65
0.995,66
1.013,67
1.017,68
1.04,69
1.057,70
1.066,71
1.118,72
1.143,73
1.144,74
1.187,75
1.19,76
1.227,77
1.239,78
1.254,79
1.272,80
1.311,81
1.312,82
1.32,83
1.332,84
1.334,85
1.375,86
1.386,87
1.388,88
1.475,89
1.494,90
1.51,91
1.543,92
1.546,93
1.569,94
1.576,95
1.592,96
1.625,97
1.627,98
1.864,99
2.521,100

