Lineage,Site
SEIAUR01,Parker River NWR
SEIAUR01,Parker River NWR
MELMEL01,Parker River NWR
GEOTRI09,Parker River NWR
GEOTRI09,Parker River NWR
SEIAUR01,Maryland
GEOTRI09,Furbish Marsh
GEOTRI09,Popham Beach
GEOTRI09,Popham Beach
SEIAUR01,Scarborough
SEIAUR01,Scarborough
RWB01,Scarborough
MELMEL02,Scarborough
GEOTRI09,Scarborough
GEOTRI09,Scarborough
GEOTRI09,Scarborough
GEOTRI09,Scarborough
GEOTRI09,Scarborough
GEOTRI09,Scarborough
GEOTRI09,Scarborough
SEIAUR01,Chapmans Landing
MELMEL05,Chapmans Landing
MELMEL02,Chapmans Landing
MELMEL02,Chapmans Landing
GEOTRI09,Chapmans Landing
GEOTRI09,Chapmans Landing
MELMEL02,Hampton Beach
GEOTRI09,Hampton Beach
GEOTRI09,Accabonac Harbor-TNC
SEIAUR01,Four Sparrow Marsh
MELMEL02,Four Sparrow Marsh
SEIAUR01,Idlewild
SEIAUR01,Idlewild
SEIAUR01,JHCNWR
SEIAUR01,JHCNWR
SEIAUR01,JHCNWR
SEIAUR01,JHCNWR
SEIAUR01,JHCNWR
SEIAUR01,JHCNWR
SEIAUR01,JHCNWR
SEIAUR01,JHCNWR
GEOTRI09,JHCNWR
GEOTRI09,JHCNWR
GEOTRI09,JHCNWR
GEOTRI09,JHCNWR
