# New data to generate histogram for gamma distribution
infection_status,Blood_Hg,sample_id
0,0.66304596,1
0,1.47619558,2
1,0.59410976,3
1,0.66460448,4
0,0.25309045,5
0,0.33771745,6
0,1.42801221,7
0,0.44456070,8
0,1.14857123,9
0,0.61382479,10
0,0.67556988,11
0,0.45591141,12
0,0.40888961,13
0,0.99407934,14
0,0.81861530,15
0,1.13296087,16
1,0.21694641,17
1,1.31193087,19
0,1.66202213,20
0,0.30719479,21
0,0.41197763,22
0,0.82907660,23
0,0.56399572,24
0,0.45944329,25
0,0.54047206,26
1,1.07179642,27
0,0.15924491,28
0,0.65238748,29
1,0.97465414,30
1,0.90086380,31
1,0.76373542,32
0,0.42686477,33
1,0.67020292,34
0,1.33630433,35
1,0.95945830,36
0,0.95791878,37
0,1.18141029,38
0,0.70936739,39
0,1.55104494,40
1,0.88940478,41
1,0.86912272,42
0,0.93153180,43
0,1.19679473,44
0,0.81953400,45
1,0.22548984,46
0,1.05560363,47
0,0.93636793,48
0,0.28814342,49
0,0.80774911,50
1,1.11067016,51 
0,1.24655832,52
0,0.43497913,53 
1,1.34223032,54 
0,0.50533321,55
1,0.35479742,56 
0,0.99074555,57 
1,1.13517677,58
1,1.15446280,59 
0,0.86123230,60 
1,0.54272593,61
0,0.48629312,62 
0,0.91411705,63 
0,2.72022851,64
1,0.53343031,65 
0,0.40992316,66 
0,0.30604172,67
1,2.26349744,68 
0,0.55034586,69 
1,0.83319088,70
0,0.99434284,71 
0,0.04402175,72 
1,0.82254905,73
1,1.85230241,74
1,1.43837406,75
0,1.19360473,76
0,0.41413622,77 
1,1.20001113,78 
0,0.51412373,79
0,0.62532767,80 
1,0.68248758,81 
1,0.72956686,82
1,0.73067482,83 
0,0.53625231,84 
0,0.57912236,85
1,1.97757147,86 
0,0.67779692,87 
1,1.02303152,88
1,1.62843004,89 
0,0.60182899,90 
0,0.63663794,91
1,1.90319163,92 
0,0.31178947,93 
0,0.71125293,94
1,0.96813745,95 
0,0.55906960,96 
1,1.08000176,97
0,0.50199754,98 
1,1.21369641,99 
0,0.14511478,100
